soc,ocv_V,source_param_set,pybamm_version
0.0,1.1037578340675949,Chen2020,25.12.2
0.005,1.4614638874890713,Chen2020,25.12.2
0.01,1.756007844681612,Chen2020,25.12.2
0.015,1.998681577109011,Chen2020,25.12.2
0.02,2.198762112264267,Chen2020,25.12.2
0.025,2.3638724597865415,Chen2020,25.12.2
0.03,2.5002782561260273,Chen2020,25.12.2
0.035,2.613131780780317,Chen2020,25.12.2
0.04,2.706672853853511,Chen2020,25.12.2
0.045,2.784394446534761,Chen2020,25.12.2
0.05,2.849179452636019,Chen2020,25.12.2
0.055,2.9034139175195643,Chen2020,25.12.2
0.06,2.949081040111354,Chen2020,25.12.2
0.065,2.9878393911986354,Chen2020,25.12.2
0.07,3.021087956876093,Chen2020,25.12.2
0.075,3.050019742953071,Chen2020,25.12.2
0.08,3.075664693587821,Chen2020,25.12.2
0.085,3.0989215626141036,Chen2020,25.12.2
0.09,3.1205772458547765,Chen2020,25.12.2
0.095,3.141311340641248,Chen2020,25.12.2
0.1,3.1616841708369683,Chen2020,25.12.2
0.105,3.182109349290995,Chen2020,25.12.2
0.11,3.202817885204647,Chen2020,25.12.2
0.115,3.2238286839378647,Chen2020,25.12.2
0.12,3.2449455159036913,Chen2020,25.12.2
0.125,3.265796606572187,Chen2020,25.12.2
0.13,3.2859169998708424,Chen2020,25.12.2
0.135,3.304852544135552,Chen2020,25.12.2
0.14,3.3222519844470146,Chen2020,25.12.2
0.145,3.33791972652749,Chen2020,25.12.2
0.15,3.351821557525509,Chen2020,25.12.2
0.155,3.3640547837259525,Chen2020,25.12.2
0.16,3.374802514888158,Chen2020,25.12.2
0.165,3.384289069218017,Chen2020,25.12.2
0.17,3.392745761887074,Chen2020,25.12.2
0.17500000000000002,3.4003892908014164,Chen2020,25.12.2
0.18,3.4074108483094783,Chen2020,25.12.2
0.185,3.4139727115909992,Chen2020,25.12.2
0.19,3.4202092609857626,Chen2020,25.12.2
0.195,3.4262301588728494,Chen2020,25.12.2
0.2,3.432124236209048,Chen2020,25.12.2
0.20500000000000002,3.43796326600852,Chen2020,25.12.2
0.21,3.4438052240861485,Chen2020,25.12.2
0.215,3.4496968895589433,Chen2020,25.12.2
0.22,3.455675775952078,Chen2020,25.12.2
0.225,3.4617714539242974,Chen2020,25.12.2
0.23,3.468006360176687,Chen2020,25.12.2
0.23500000000000001,3.474396203343297,Chen2020,25.12.2
0.24,3.4809500868021774,Chen2020,25.12.2
0.245,3.4876704743090823,Chen2020,25.12.2
0.25,3.494553126871729,Chen2020,25.12.2
0.255,3.501587135600992,Chen2020,25.12.2
0.26,3.5087551617891513,Chen2020,25.12.2
0.265,3.516033969380748,Chen2020,25.12.2
0.27,3.5233952959119534,Chen2020,25.12.2
0.275,3.5308070589645406,Chen2020,25.12.2
0.28,3.538234842849218,Chen2020,25.12.2
0.28500000000000003,3.5456435636451027,Chen2020,25.12.2
0.29,3.55299917905148,Chen2020,25.12.2
0.295,3.5602702993633892,Chen2020,25.12.2
0.3,3.567429569201722,Chen2020,25.12.2
0.305,3.5744547230105637,Chen2020,25.12.2
0.31,3.5813292630897084,Chen2020,25.12.2
0.315,3.588042757413375,Chen2020,25.12.2
0.32,3.5945907967632897,Chen2020,25.12.2
0.325,3.6009746806163587,Chen2020,25.12.2
0.33,3.60720091626984,Chen2020,25.12.2
0.335,3.6132806166989933,Chen2020,25.12.2
0.34,3.6192288727049027,Chen2020,25.12.2
0.34500000000000003,3.625064158004622,Chen2020,25.12.2
0.35000000000000003,3.630807805793368,Chen2020,25.12.2
0.355,3.6364835748040214,Chen2020,25.12.2
0.36,3.642117303691168,Chen2020,25.12.2
0.365,3.6477366353549523,Chen2020,25.12.2
0.37,3.6533707776084166,Chen2020,25.12.2
0.375,3.659050253185705,Chen2020,25.12.2
0.38,3.664806580563872,Chen2020,25.12.2
0.385,3.670671818250666,Chen2020,25.12.2
0.39,3.6766779010602426,Chen2020,25.12.2
0.395,3.682855700861322,Chen2020,25.12.2
0.4,3.6892337610531083,Chen2020,25.12.2
0.405,3.6958366888534555,Chen2020,25.12.2
0.41000000000000003,3.7026832463835397,Chen2020,25.12.2
0.41500000000000004,3.709784260370806,Chen2020,25.12.2
0.42,3.7171405632009744,Chen2020,25.12.2
0.425,3.7247412665837727,Chen2020,25.12.2
0.43,3.732562724563263,Chen2020,25.12.2
0.435,3.740568532132145,Chen2020,25.12.2
0.44,3.7487108047787023,Chen2020,25.12.2
0.445,3.7569327922601796,Chen2020,25.12.2
0.45,3.765172630547791,Chen2020,25.12.2
0.455,3.7733677939481254,Chen2020,25.12.2
0.46,3.781459649608541,Chen2020,25.12.2
0.465,3.789397492837539,Chen2020,25.12.2
0.47000000000000003,3.7971415622414217,Chen2020,25.12.2
0.47500000000000003,3.804664757422547,Chen2020,25.12.2
0.48,3.8119530374537303,Chen2020,25.12.2
0.485,3.819004694644473,Chen2020,25.12.2
0.49,3.8258288303711234,Chen2020,25.12.2
0.495,3.8324433982762405,Chen2020,25.12.2
0.5,3.838873143544315,Chen2020,25.12.2
0.505,3.845147687121931,Chen2020,25.12.2
0.51,3.8512999117473066,Chen2020,25.12.2
0.515,3.857364724510857,Chen2020,25.12.2
0.52,3.863378209383059,Chen2020,25.12.2
0.525,3.869377144743392,Chen2020,25.12.2
0.53,3.875398841895913,Chen2020,25.12.2
0.535,3.8814812547668183,Chen2020,25.12.2
0.54,3.8876633115399466,Chen2020,25.12.2
0.545,3.893985418662928,Chen2020,25.12.2
0.55,3.9004900783569165,Chen2020,25.12.2
0.555,3.9072225324545875,Chen2020,25.12.2
0.56,3.9142312852329337,Chen2020,25.12.2
0.5650000000000001,3.9215682512229093,Chen2020,25.12.2
0.5700000000000001,3.9292881103442356,Chen2020,25.12.2
0.5750000000000001,3.9374462426224492,Chen2020,25.12.2
0.58,3.946094422292884,Chen2020,25.12.2
0.585,3.955273438403641,Chen2020,25.12.2
0.59,3.965002256062885,Chen2020,25.12.2
0.595,3.9752645412412075,Chen2020,25.12.2
0.6,3.9859953476210306,Chen2020,25.12.2
0.605,3.9970727435735816,Chen2020,25.12.2
0.61,4.0083195093084605,Chen2020,25.12.2
0.615,4.019517281778024,Chen2020,25.12.2
0.62,4.030430247515893,Chen2020,25.12.2
0.625,4.040830954419576,Chen2020,25.12.2
0.63,4.0505205315639286,Chen2020,25.12.2
0.635,4.059339785056924,Chen2020,25.12.2
0.64,4.067172942625872,Chen2020,25.12.2
0.645,4.073948703619649,Chen2020,25.12.2
0.65,4.079642766661644,Chen2020,25.12.2
0.655,4.084283516121853,Chen2020,25.12.2
0.66,4.087959849199337,Chen2020,25.12.2
0.665,4.090828278688572,Chen2020,25.12.2
0.67,4.093115751453843,Chen2020,25.12.2
0.675,4.09511501449263,Chen2020,25.12.2
0.68,4.0971706601923685,Chen2020,25.12.2
0.685,4.099655918950072,Chen2020,25.12.2
0.6900000000000001,4.102942426619292,Chen2020,25.12.2
0.6950000000000001,4.1073670377985785,Chen2020,25.12.2
0.7000000000000001,4.113200753878857,Chen2020,25.12.2
0.705,4.120624659366118,Chen2020,25.12.2
0.71,4.129716433740318,Chen2020,25.12.2
0.715,4.140448912497036,Chen2020,25.12.2
0.72,4.1526999119126815,Chen2020,25.12.2
0.725,4.166270700779618,Chen2020,25.12.2
0.73,4.180909483169067,Chen2020,25.12.2
0.735,4.196336135221836,Chen2020,25.12.2
0.74,4.212265041996734,Chen2020,25.12.2
0.745,4.228423892917616,Chen2020,25.12.2
0.75,4.244567392841238,Chen2020,25.12.2
0.755,4.260485789401206,Chen2020,25.12.2
0.76,4.276008781817478,Chen2020,25.12.2
0.765,4.291005741370756,Chen2020,25.12.2
0.77,4.30538328653776,Chen2020,25.12.2
0.775,4.3190811929689605,Chen2020,25.12.2
0.78,4.332067457200778,Chen2020,25.12.2
0.785,4.344333135076094,Chen2020,25.12.2
0.79,4.35588738282094,Chen2020,25.12.2
0.795,4.366752963451476,Chen2020,25.12.2
0.8,4.376962352491808,Chen2020,25.12.2
0.805,4.386554484728671,Chen2020,25.12.2
0.81,4.395572123016988,Chen2020,25.12.2
0.8150000000000001,4.40405979428553,Chen2020,25.12.2
0.8200000000000001,4.412062220173283,Chen2020,25.12.2
0.8250000000000001,4.419623164350925,Chen2020,25.12.2
0.8300000000000001,4.426784620964966,Chen2020,25.12.2
0.835,4.433586275412606,Chen2020,25.12.2
0.84,4.44006517747998,Chen2020,25.12.2
0.845,4.446255576241357,Chen2020,25.12.2
0.85,4.452188875110914,Chen2020,25.12.2
0.855,4.457893673570658,Chen2020,25.12.2
0.86,4.463395869155799,Chen2020,25.12.2
0.865,4.468718799221869,Chen2020,25.12.2
0.87,4.473883406906368,Chen2020,25.12.2
0.875,4.478908419642115,Chen2020,25.12.2
0.88,4.483810531710322,Chen2020,25.12.2
0.885,4.488604584770044,Chen2020,25.12.2
0.89,4.4933037421891155,Chen2020,25.12.2
0.895,4.497919654438072,Chen2020,25.12.2
0.9,4.502462613885512,Chen2020,25.12.2
0.905,4.506941698127581,Chen2020,25.12.2
0.91,4.51136490155869,Chen2020,25.12.2
0.915,4.515739255296823,Chen2020,25.12.2
0.92,4.520070935854184,Chen2020,25.12.2
0.925,4.524365363125081,Chen2020,25.12.2
0.93,4.528627288372451,Chen2020,25.12.2
0.935,4.532860872951702,Chen2020,25.12.2
0.9400000000000001,4.537069758529628,Chen2020,25.12.2
0.9450000000000001,4.541257129549475,Chen2020,25.12.2
0.9500000000000001,4.54542576866789,Chen2020,25.12.2
0.9550000000000001,4.549578105852871,Chen2020,25.12.2
0.96,4.55371626178786,Chen2020,25.12.2
0.965,4.557842086179691,Chen2020,25.12.2
0.97,4.561957191519247,Chen2020,25.12.2
0.975,4.5660629827954144,Chen2020,25.12.2
0.98,4.570160683616257,Chen2020,25.12.2
0.985,4.574251359146804,Chen2020,25.12.2
0.99,4.578335936231572,Chen2020,25.12.2
0.995,4.582415221031261,Chen2020,25.12.2
1.0,4.58648991446774,Chen2020,25.12.2
